test_id,passed,value,detail
D8-UNIT-01,1,4,"ok"
D8-UNIT-02,1,1.67141272191e+18,"ok"
D8-UNIT-03,1,2,"ok"
D8-UNIT-04,1,2,"ok"
D8-UNIT-05,1,1,"ok"
D8-UNIT-06,1,1,"ok"
D8-UNIT-07,1,14,"ok"
D8-UNIT-08,1,1,"ok"
D8-INT-01,1,1,"ok"
D8-INT-02,1,1,"ok"
D8-INT-03,1,1,"ok"
D8-INT-04,1,1,"ok"
D8-INT-05,1,1,"ok"
D8-INT-06,1,2,"ok"
D8-OPS-01,1,1800,"ok"
D8-OPS-02,1,1,"ok"
D8-OPS-03,1,25,"ok"
D8-NEG-01,1,1,"ok"
D8-NEG-02,1,1,"ok"
D8-NEG-03,1,1,"ok"
D8-NEG-04,1,1,"ok"
D8-NEG-05,1,1,"ok"
D8-NEG-06,1,1,"ok"
D8-NEG-07,1,6,"ok"
D8-NEG-08,1,3,"ok"
