test_id,passed,value,detail
M9-UNIT-01,1,65792,"ok"
M9-UNIT-02,1,1,"ok"
M9-UNIT-03,1,1,"ok"
M9-UNIT-04,1,3,"ok"
M9-UNIT-05,1,1,"ok"
M9-UNIT-06,1,1,"ok"
M9-UNIT-07,1,1,"ok"
M9-INT-01,1,0.165562317046,"ok"
M9-INT-02,1,1,"ok"
M9-INT-03,1,1,"ok"
M9-INT-04,1,0.0849904687619,"ok"
M9-INT-05,1,0.321637426901,"ok"
M9-INT-06,1,0,"ok"
M9-INT-07,1,0,"ok"
M9-OPS-01,1,6416,"ok"
M9-OPS-02,1,8.3e-05,"ok"
M9-OPS-03,1,1,"ok"
M9-NEG-01,1,1,"ok"
M9-NEG-02,1,1,"ok"
M9-NEG-03,1,1,"ok"
M9-NEG-04,1,1,"ok"
M9-NEG-05,1,1,"ok"
M9-NEG-06,1,1,"ok"
M9-NEG-07,1,1,"ok"
M9-NEG-08,1,1,"ok"
