test_id,passed,value,detail
R5-UNIT-01,1,1,"ok"
R5-UNIT-02,1,1,"ok"
R5-UNIT-03,1,0.0600000023842,"ok"
R5-UNIT-04,1,1,"ok"
R5-UNIT-05,1,1,"ok"
R5-UNIT-06,1,1,"ok"
R5-UNIT-07,1,1,"ok"
R5-UNIT-08,1,1,"ok"
R5-UNIT-09,1,2,"ok"
R5-UNIT-10,1,0.25,"ok"
R5-INT-01,1,1,"ok"
R5-INT-02,1,0.818181812763,"ok"
R5-INT-03,1,1,"ok"
R5-INT-04,1,1,"ok"
R5-INT-05,1,1,"ok"
R5-INT-06,1,1,"ok"
R5-INT-07,1,1,"ok"
R5-INT-08,1,1,"ok"
R5-INT-09,1,1,"ok"
R5-INT-10,1,0,"ok"
R5-INT-11,1,1,"ok"
R5-INT-12,1,1,"ok"
R5-OPS-01,1,1,"ok"
R5-OPS-02,1,1.00481480629e+19,"ok"
R5-OPS-03,1,100,"ok"
